"id","date","title","word_count","summary","controlled_tags","source_tags","has_images","wordpress_url","file_path"
"2012-04-13-less-of-lee","2012-04-13","Less of Lee","292","Ok...I'm publicly committing. Today I start my journey of becoming less. More important than losing weight, is becoming healthy.","a1c-labs; family-responsibility; feasting; original-less-of-lee-journey; type-2-diabetes","","true","https://lessoflee.wordpress.com/2012/04/13/hello-world/","../src/content/blog/2012-04-13-less-of-lee.md"
"2012-04-14-i-can-wait-20","2012-04-14","I Can Wait 20","189","20 minutes. That's what I have to tell myself after I've eaten a proper portion of food. Proper amount, as opposed to the ""eat until I'm full"" amount. For some cruel reason, our bodies take 20 minutes to...","original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/04/14/i-can-wait-20/","../src/content/blog/2012-04-14-i-can-wait-20.md"
"2012-04-19-miles-of-milestones","2012-04-19","Miles of Milestones","327","It's a long journey from my starting point to my desired finish line: to lose 130lbs before I'm 50 (2.5 years from now). To keep me motivated and to celebrate along the way, I've been coming up with...","nsv; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/04/19/miles-of-milestones/","../src/content/blog/2012-04-19-miles-of-milestones.md"
"2012-04-20-do-something-good","2012-04-20","Do Something Good","414","It’s so easy to become overwhelmed with all the lifestyle changes I need to make. I need to eat less, of course. I also need to eat better. I need to exercise…both aerobically and strength training. I need...","exercise; family-responsibility; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/04/20/do-something-good/","../src/content/blog/2012-04-20-do-something-good.md"
"2012-04-22-week-1-8211-there-are-5lbs-less-of-lee","2012-04-23","Week 1 – There are 5lbs Less of Lee","249","There are 5lbs Less of Lee. That's a pretty good first week. The most important factor was simply deciding that I was going to be serious about losing weight. Second was choosing Weight Watcher's Online to be my...","original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/04/22/week-1-there-is-5lbs-less-of-lee/","../src/content/blog/2012-04-22-week-1-8211-there-are-5lbs-less-of-lee.md"
"2012-04-23-why-am-i-so-fat","2012-04-24","Why Am I So Fat?","409","“If you know so much, why are you fat?” Sure, it was an ad hominem attack on me by someone who couldn’t deal with my logic in a discussion on a WW forum, but it’s still a good...","health-identity; mindset; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/04/23/why-am-i-so-fat/","../src/content/blog/2012-04-23-why-am-i-so-fat.md"
"2012-04-27-weight-watchers8230really","2012-04-28","Weight Watchers…Really?","588","I thought I’d give some of my thoughts on Weight Watchers. A couple caveats. I am not trying to convince anyone else that WW is for them, or is the best or anything of the kind.","exercise; feasting; food-addiction; mindset; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/04/27/weight-watchers-really/","../src/content/blog/2012-04-27-weight-watchers8230really.md"
"2012-04-28-cooking-helps","2012-04-29","Cooking Helps","272","I began cooking in earnest only a couple years ago. Wifey was trying to reenter the work force, and it's only fair that I pitch in and help more around the house. I chose cooking. Like anything, I...","original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/04/28/cooking-helps/","../src/content/blog/2012-04-28-cooking-helps.md"
"2012-04-29-18243-less-of-lee","2012-04-29","1″ Less of Lee","122","Sunday is weigh in day. Earlier in the week I had peeked, given in and weighed myself. I had broken the 300lb barrier at 299.6. But alas, at weigh in day, I'm at 300.8 – still, I'm headed...","original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/04/29/1-less-of-lee/","../src/content/blog/2012-04-29-18243-less-of-lee.md"
"2012-05-06-eat-like-a-fat-man-and-lose-weight","2012-05-06","Eat Like a Fat Man and Lose Weight","211","How on earth can one eat like a fat man and lose weight? You start by being an even fatter man. You've seen the commercials, famous fat men saying how you can eat all your favorite foods (pizza,...","original-less-of-lee-journey","health; healthy-living; weight-loss","true","https://lessoflee.wordpress.com/2012/05/06/eat-like-a-fat-man-and-lose-weight/","../src/content/blog/2012-05-06-eat-like-a-fat-man-and-lose-weight.md"
